index,gdp,gdp_trend,gdp_cycle,price,price_trend,price_cycle,deflator,deflator_trend,deflator_cycle
1980-03-31,269747.5,267733.33470080624,0.7523027722508235,71.0156991382514,71.66893387092026,-0.9114614901979179,91.2,93.56250750111033,-2.525057914979767
1980-06-30,268521.8,270513.9902228374,-0.7364462818342132,72.90780559516382,72.50693356133624,0.5528740689171086,93.4,94.00406568922813,-0.642595280107483
1980-09-30,274183.1,273295.9045981805,0.32462813635056875,73.8986297914292,73.31998256496951,0.7892080797304413,94.4,94.44414731015772,-0.04674435781893971
1980-12-31,279601.8,276079.0915612583,1.2759779883439792,74.7718298071611,74.10551128883203,0.899148399006422,95.4,94.88089825565514,0.5471088004944447
1981-03-31,281995.7,278864.1193436196,1.1229772635330093,75.69427114435338,74.86131179445225,1.112669989257209,95.6,95.31243682540759,0.3017058257771321
1981-06-30,284608.9,281653.7578695874,1.0492109719270726,76.49822993792121,75.58559259243256,1.2074223594563893,96.0,95.73720575769241,0.27449541714505976
1981-09-30,285942.5,284452.73430139467,0.5237304897997008,77.00015947593714,76.27708279296904,0.9479605885435838,96.3,96.15382751777103,0.15201941098179628
1981-12-31,287332.5,287267.622765106,0.022584248885948455,77.83734882942407,76.93508190459869,1.1727639751449415,97.2,96.56108881730631,0.6616652634297671
1982-03-31,291317.9,290105.92849034746,0.41776861161004764,78.06704440411158,77.55934135878533,0.6545994801292254,98.0,96.95786772576254,1.0748300253312637
1982-06-30,293210.1,292975.19725501706,0.0801783724983629,78.49289510783086,78.15017650382082,0.4385384900484457,97.8,97.34344163209315,0.46901810769379715
1982-09-30,294403.1,295883.7323192066,-0.5004101805804129,79.13398744952308,78.70822000240027,0.5409440679891242,98.2,97.71773925792304,0.49352425234077124
1982-12-31,298564.0,298839.9837572232,-0.09235168391903414,79.76902743994238,79.23431871634628,0.6748448554348307,98.1,98.08097467385707,0.019397570432166944
1983-03-31,300698.4,301851.4762481747,-0.38200119559018697,79.73791592382754,79.72958561213596,0.010448206431301621,98.7,98.43366336346386,0.2705747479423648
1983-06-30,302998.9,304925.5619813208,-0.6318466608053019,80.25467042354012,80.19546784919869,0.07382284302244191,98.9,98.77633270114097,0.12519932202099682
1983-09-30,307080.6,308068.87247326603,-0.3207959523245263,80.30179952195802,80.63341779340864,-0.4112665449705566,98.9,99.10967652168375,-0.21156009084327687
1983-12-31,309255.0,311286.8350768767,-0.6527211715763315,81.10206587763392,81.04492481224895,0.07050542093456347,99.2,99.43446595194935,-0.23579947828417103
1984-03-31,312154.4,314584.2594747231,-0.7724033868637625,81.67642684504088,81.43127101178305,0.30105858623077353,99.8,99.75134107096883,0.04878022541725535
1984-06-30,318660.4,317964.6854524526,0.2188024580646264,81.88364307998408,81.79377421124029,0.10987250510252622,100.0,100.0607954165533,-0.06075847818339808
1984-09-30,321010.1,321430.13413354085,-0.1306766506734447,82.10240280356254,82.13390545224577,-0.038355230412789876,100.5,100.36335293834455,0.13615234809800647
1984-12-31,322193.9,324983.0614630558,-0.8582482577704553,82.96845978981241,82.45319194446756,0.6249216472927976,101.1,100.65949958884903,0.43761434633613483
1985-03-31,326534.9,328625.660864732,-0.6362135139509228,83.31377773226406,82.7531412084183,0.6774806559110225,101.4,100.94980672498681,0.4459575403047866
1985-06-30,332613.1,332358.3825363899,0.0766393980095259,83.6459552252655,83.03558280701388,0.7350733235295115,101.7,101.2351210164349,0.45920721869796566
1985-09-30,337565.2,336180.36995030916,0.41193066980547144,84.03761201391082,83.30269670099764,0.8822227154914764,101.5,101.51657050366714,-0.016322954553060764
1985-12-31,342907.7,340090.9257771843,0.8282415111131591,84.33414869627133,83.55704433387433,0.9300285434844513,101.8,101.79557377652215,0.00434814925014404
1986-03-31,343060.2,344090.2182064908,-0.2993453902466525,84.61722374664548,83.80164647121927,0.9732234505754,102.7,102.07353906827373,0.6137348988235258
1986-06-30,344100.2,348180.17591159313,-1.1718001752716312,84.37715129951438,84.04000956883431,0.4011681250511101,103.3,102.3518773785853,0.9263363268928959
1986-09-30,346522.1,352362.0838044769,-1.6573814473516024,84.23739914416342,84.27614981831834,-0.045980593843530926,103.6,102.63239124520258,0.9427908120017037
1986-12-31,350553.6,356634.676812183,-1.705127742074708,84.1343445080479,84.51429412485209,-0.4495684673682332,103.3,102.91747578250978,0.37168052809475327
1987-03-31,351752.8,360993.0398718745,-2.559672584034889,83.91538040405041,84.7586451744449,-0.9949011910925787,103.1,103.21013086036282,-0.10670547498077276
1987-06-30,357860.3,365428.45724770695,-2.071036641401147,84.51028806791305,85.01316818459568,-0.5915320266510871,102.9,103.51359542625357,-0.5927679583796475
1987-09-30,364386.4,369926.4380539159,-1.4976053301463232,84.60374672122909,85.28130133232185,-0.794493752449299,103.2,103.83103959588618,-0.607756214656241
1987-12-31,373720.1,374467.7613064572,-0.19965972607328686,84.76752553126344,85.56616849456783,-0.9333630070804122,103.1,104.16524998782336,-1.0226538965229626
1988-03-31,379496.1,379029.7434975026,0.12303955309524994,84.55032433892602,85.87047007664621,-1.5373687095713628,103.7,104.51861882088028,-0.7832277446023217
1988-06-30,382265.8,383589.233830907,-0.34501328874375625,84.6764631349818,86.19640733201744,-1.763349824060545,103.3,104.89287253262967,-1.5185707991114183
1988-09-30,389314.5,388123.3729833395,0.3068939155879358,85.10399148550478,86.54535642305596,-1.665444568170038,103.8,105.2892259238813,-1.4144143532387021
1988-12-31,393577.3,392608.4744853247,0.24676632768696471,85.66714151677236,86.91774354701307,-1.4388339816533202,104.1,105.70789825011197,-1.5210767376223622
1989-03-31,402905.1,397021.5963217728,1.4819102368070602,85.45258653004949,87.3130940480541,-2.130845938159809,104.5,106.14817800059606,-1.5527143580239322
1989-06-30,398116.1,401340.4019935405,-0.8033833567527182,87.00378002672427,87.73015164407539,-0.8279612011820481,105.6,106.60834872820165,-0.9458440546457059
1989-09-30,404303.0,405546.23219128355,-0.3065574508154145,87.43838944608483,88.16649723577459,-0.8258327284372591,106.3,107.08566387454641,-0.7336779230008195
1989-12-31,415327.2,409618.4124169117,1.3936843193654846,87.89922225608615,88.6192577415885,-0.8125045321435209,106.9,107.57674666329294,-0.6290826635714342
1990-03-31,413087.8,413535.49115221493,-0.10825942677074041,88.49382018011413,89.0851050125854,-0.6637302974360715,107.5,108.0777292781822,-0.5345497930431042
1990-06-30,423196.9,417279.5848712231,1.418069645224329,89.23107227344504,89.5602608776551,-0.36756101532547936,108.2,108.58432093629065,-0.3539377812346811
1990-09-30,431784.6,420832.53024099563,2.602476988347946,89.67266402879794,90.04057761266705,-0.4086086447065984,108.5,109.09186977389587,-0.5425425149670371
1990-12-31,431509.4,424179.8622505474,1.7279315690671204,91.0655348264836,90.52170175061316,0.6007764606201338,109.8,109.59548372669022,0.18661012877119187
1991-03-31,436154.5,427313.96093249274,2.0688626807828348,91.802205248209,90.9990498784954,0.8825975334753489,110.5,110.08990081175733,0.37251299639546875
1991-06-30,439945.2,430231.78728053905,2.257716190813941,92.2563742488029,91.46837847898814,0.8614952871344173,111.4,110.56998686885166,0.7506676582433203
1991-09-30,439926.1,432935.82762531086,1.614620904218378,92.54115913994276,91.9259460068719,0.669248628700414,111.9,111.03086404972025,0.7827877029674912
1991-12-31,443289.7,435434.6391803822,1.8039586456427559,93.59791022101699,92.36850341428321,1.330980541299609,112.8,111.4681732643171,1.1948044869496632
1992-03-31,442616.7,437741.1480795613,1.1137979469895587,93.54003875015358,92.79318616156685,0.8048571446683139,113.1,111.8780986325651,1.092172089416632
1992-06-30,443963.8,439873.18986966857,0.9299521372383435,94.35103652822175,93.19789808832185,1.2373009086611653,113.9,112.25765666609693,1.4630123081832203
1992-09-30,445645.2,441851.64731747436,0.8585580037002716,94.20822998493963,93.58100981701512,0.6702430003170168,113.7,112.60462756489986,0.9727596980584341
1992-12-31,442920.2,443699.9598210803,-0.17574034070112488,94.49766305809733,93.9416126816385,0.5919106140356067,113.8,112.91781799354473,0.7812602316719319
1993-03-31,445162.3,445443.93774901505,-0.063226306421027,94.77663122307685,94.27919002878875,0.5276256553924608,114.1,113.19671922437446,0.7979743422025232
1993-06-30,441409.6,447108.90411991905,-1.274701547520618,95.1489311288833,94.59357273654791,0.5870994997536627,113.9,113.441373893486,0.4042846897681418
1993-09-30,439390.1,448720.00592883985,-2.079226645918575,95.8760466290742,94.88490258374449,1.044575078163712,114.2,113.65238918746103,0.48182956509232877
1993-12-31,441089.0,450298.8281057502,-2.045270280736178,95.53010375943099,95.15366844820215,0.39560777568312666,114.5,113.83065893419776,0.588014751095467
